Origin,Destination,Direction,duration_in_traffic_20250326_1753,duration_in_traffic_20250326_1859
mesrop_mashtoc_1,isahakyan_4,Right,200,305
mesrop_mashtoc_1,mesrop_mashtoc_2,Straight,148,149
mesrop_mashtoc_2,moskovyan_1-,Right,46,94
mesrop_mashtoc_2,mesrop_mashtoc_3,Straight,53,55
mesrop_mashtoc_3,mesrop_mashtoc_4,Straight,54,52
mesrop_mashtoc_3,baghramyan_1,Right,59,51
baghramyan_1-,mesrop_mashtoc_4,Right,54,41
mesrop_mashtoc_4-,mesrop_mashtoc_3-,Straight,75,76
mesrop_mashtoc_4-,sayat_nova_6-,Right,66,47
mesrop_mashtoc_2,moskovyan_2,Left,61,49
mesrop_mashtoc_3,sayat_nova_6-,Left,72,75
baghramyan_1-,sayat_nova_6-,Straight,77,47
baghramyan_1-,mesrop_mashtoc_3-,Left,65,62
mesrop_mashtoc_4-,baghramyan_1,Left,74,77
moskovyan_1,mesrop_mashtoc_3,Right,60,67
moskovyan_1,moskovyan_2,Straight,51,50
moskovyan_1,mesrop_mashtoc_2-,Left,43,45
mesrop_mashtoc_3-,mesrop_mashtoc_2-,Straight,46,45
mesrop_mashtoc_3-,moskovyan_2,Right,52,80
mesrop_mashtoc_2-,mesrop_mashtoc_1-,Straight,33,36
mesrop_mashtoc_2-,isahakyan_4,Left,141,243
mesrop_mashtoc_1-,koryun_3-,Straight,36,45
koryun_3,mesrop_mashtoc_1,Straight,100,118
sayat_nova_6,baghramyan_1,Straight,97,100
sayat_nova_6,mesrop_mashtoc_4,Left,86,94
sayat_nova_6,mesrop_mashtoc_3-,Right,104,114
moskovyan_2,moskovyan_3,Straight,62,61
moskovyan_2,teryan_4,Right,81,86
moskovyan_2,teryan_3-,Left,58,71
teryan_4,teryan_5,Straight,92,95
teryan_4,sayat_nova_6,Right,115,116
sayat_nova_6-,sayat_nova_5-,Straight,101,103
sayat_nova_6-,teryan_5,Right,101,103
sayat_nova_6-,teryan_4-,Left,106,122
teryan_5-,teryan_4-,Straight,85,96
teryan_5-,sayat_nova_5-,Right,75,85
sayat_nova_5,teryan_4-,Right,90,96
sayat_nova_5,sayat_nova_6,Straight,86,72
sayat_nova_5,teryan_5,Left,78,67
sayat_nova_5-,abovyan_5,Right,96,73
sayat_nova_5-,sayat_nova_4-,Straight,61,63
teryan_4-,moskovyan_3,Right,75,91
teryan_4-,teryan_3-,Straight,57,86
sayat_nova_4,sayat_nova_5-,Straight,105,93
sayat_nova_4,abovyan_5,Left,90,97
abovyan_4,abovyan_5,Straight,111,138
abovyan_4,sayat_nova_5,Right,113,142
abovyan_4,sayat_nova_4-,Left,112,139
isahakyan_3,mesrop_mashtoc_2,Left,117,60
isahakyan_3,isahakyan_4,Straight,158,259
isahakyan_3,mesrop_mashtoc_1-,Right,64,75
teryan_3,teryan_4,Straight,47,47
teryan_3,moskovyan_3,Left,40,46
teryan_3-,isahakyan_3,Left,61,59
teryan_3-,teryan_2-,Straight,102,117
moskovyan_3,moskovyan_4,Straight,52,47
moskovyan_3,abovyan_4,Right,57,58
moskovyan_3,abovyan_3-,Left,40,46
isahakyan_2,isahakyan_3,Straight,70,74
isahakyan_2,teryan_3,Left,48,52
isahakyan_2,teryan_2-,Right,116,135
abovyan_3,abovyan_4,Straight,54,48
abovyan_3,moskovyan_4,Left,52,42
abovyan_3-,abovyan_2-,Straight,50,46
koryun_3-,koryun_2-,Straight,81,92
koryun_3-,teryan_2,Right,110,123
koryun_3-,teryan_1-,Left,118,127
teryan_2,teryan_3,Straight,54,55
teryan_2,isahakyan_3,Right,82,73
teryan_1,teryan_2,Straight,91,113
teryan_1,koryun_3,Right,68,74
teryan_1,koryun_2-,Left,96,104
teryan_2-,teryan_1-,Straight,99,118
teryan_2-,koryun_2-,Right,86,81
koryun_2,koryun_3,Straight,81,90
koryun_2,teryan_1-,Right,105,110
koryun_2,teryan_2,Left,92,94
koryun_2-,koryun_1-,Straight,64,56
koryun_2-,abovyan_2,Right,84,64
koryun_2-,abovyan_1-,Left,103,109
abovyan_1,abovyan_2,Straight,88,80
abovyan_1,koryun_2,Right,89,89
abovyan_1,koryun_1-,Left,113,101
abovyan_2,abovyan_3,Straight,45,46
abovyan_2,isahakyan_2,Right,73,64
abovyan_2-,abovyan_1-,Straight,100,96
abovyan_2-,koryun_1-,Right,61,46
isahakyan_1,isahakyan_2,Straight,75,87
isahakyan_1,abovyan_2-,Right,79,84
isahakyan_1,abovyan_3,Left,206,226
koryun_1,koryun_2,Straight,116,112
koryun_1,abovyan_1-,Right,95,103
koryun_1-,charents_2-,Straight,137,111
koryun_1-,nalbandyan_1,Right,100,150
koryun_1-,heratsi_2,Left,317,322
moskovyan_4,khanjyan_1-,Straight,55,56
moskovyan_4,nalbandyan_3,Right,81,103
moskovyan_4,nalbandyan_2-,Left,53,98
sayat_nova_4-,nalbandyan_4,Right,89,74
sayat_nova_4-,sayat_nova_3-,Straight,62,66
sayat_nova_4-,nalbandyan_3-,Left,74,82
nalbandyan_1,nalbandyan_2-,Straight,46,73
nalbandyan_1,isahakyan_1,Right,89,103
nalbandyan_1-,heratsi_2,Straight,279,295
nalbandyan_1-,charents_2-,Right,86,92
nalbandyan_2,nalbandyan_3,Straight,52,78
nalbandyan_2,khanjyan_1-,Left,37,48
nalbandyan_2-,isahakyan_1,Left,78,72
nalbandyan_2-,nalbandyan_1-,Straight,34,52
nalbandyan_3,nalbandyan_4,Straight,119,110
nalbandyan_3,sayat_nova_4,Right,148,117
nalbandyan_3,sayat_nova_3-,Left,107,107
nalbandyan_3-,nalbandyan_2-,Straight,59,54
nalbandyan_3-,khanjyan_1-,Right,58,51
nalbandyan_4-,nalbandyan_3-,Straight,68,70
nalbandyan_4-,sayat_nova_3-,Right,76,72
nalbandyan_4-,sayat_nova_4,Left,94,85
sayat_nova_3-,sayat_nova_2-,Straight,87,86
sayat_nova_3-,khanjyan_2-,Right,140,134
sayat_nova_3,sayat_nova_4,Straight,127,77
sayat_nova_3,nalbandyan_3-,Right,108,77
khanjyan_1-,khanjyan_2-,Straight,158,134
khanjyan_1-,sayat_nova_3,Right,129,98
khanjyan_1-,sayat_nova_2-,Left,103,93
khanjyan_1,nalbandyan_2-,Right,58,61
khanjyan_1,nalbandyan_3,Left,78,105
heratsi_1,heratsi_2,Straight,266,202
heratsi_1-,khanjyan_2-,Straight,86,48
heratsi_1-,khanjyan_1,Right,29,28
heratsi_2-,koryun_1,Right,95,64
heratsi_2-,charents_2-,Left,158,118
heratsi_2-,heratsi_1-,Straight,68,65
sayat_nova_2,sayat_nova_3,Straight,73,66
sayat_nova_2,khanjyan_1,Right,107,95
sayat_nova_2,khanjyan_2-,Left,129,94
sayat_nova_2-,sayat_nova_1-,Straight,37,37
sayat_nova_2-,alek_manukyan_1-,Right,83,116
sayat_nova_2-,alek_manukyan_2,Left,87,80
sayat_nova_1,sayat_nova_2,Straight,71,54
sayat_nova_1,alek_manukyan_2,Right,97,91
sayat_nova_1,alek_manukyan_1-,Left,147,162
sayat_nova_1-,charents_1-,Right,114,180
sayat_nova_1-,charents_2-,Left,218,203
charents_1,charents_2,Straight,170,199
charents_1,sayat_nova_1,Left,167,198
charents_2,koryun_1,Straight,145,132
charents_2,heratsi_2,Right,160,159
charents_2-,charents_1-,Straight,176,211
charents_2-,sayat_nova_1,Right,130,126
alek_manukyan_2,heratsi_2,Left,229,239
alek_manukyan_2,isahakyan_1,Straight,161,146
alek_manukyan_2,charents_2-,Right,116,116
alek_manukyan_1,alek_manukyan_2,Straight,177,150
alek_manukyan_1,sayat_nova_2,Left,157,113
alek_manukyan_1,sayat_nova_1-,Right,159,109
