Origin,Destination,Direction,duration_in_traffic_20250326_1753,duration_in_traffic_20250326_1859,duration_20250326_2222,duration_20250326_2224
mesrop_mashtoc_1,isahakyan_4,Right,200,305,64,75
mesrop_mashtoc_1,mesrop_mashtoc_2,Straight,148,149,52,50
mesrop_mashtoc_2,moskovyan_1-,Right,46,94,38,40
mesrop_mashtoc_2,mesrop_mashtoc_3,Straight,53,55,41,41
mesrop_mashtoc_3,mesrop_mashtoc_4,Straight,54,52,55,60
mesrop_mashtoc_3,baghramyan_1,Right,59,51,45,33
baghramyan_1-,mesrop_mashtoc_4,Right,54,41,43,44
mesrop_mashtoc_4-,mesrop_mashtoc_3-,Straight,75,76,69,69
mesrop_mashtoc_4-,sayat_nova_6-,Right,66,47,40,38
mesrop_mashtoc_2,moskovyan_2,Left,61,49,46,48
mesrop_mashtoc_3,sayat_nova_6-,Left,72,75,76,74
baghramyan_1-,sayat_nova_6-,Straight,77,47,59,54
baghramyan_1-,mesrop_mashtoc_3-,Left,65,62,61,60
mesrop_mashtoc_4-,baghramyan_1,Left,74,77,63,61
moskovyan_1,mesrop_mashtoc_3,Right,60,67,49,47
moskovyan_1,moskovyan_2,Straight,51,50,45,45
moskovyan_1,mesrop_mashtoc_2-,Left,43,45,42,42
mesrop_mashtoc_3-,mesrop_mashtoc_2-,Straight,46,45,34,34
mesrop_mashtoc_3-,moskovyan_2,Right,52,80,50,51
mesrop_mashtoc_2-,mesrop_mashtoc_1-,Straight,33,36,30,29
mesrop_mashtoc_2-,isahakyan_4,Left,141,243,67,72
mesrop_mashtoc_1-,koryun_3-,Straight,36,45,26,28
koryun_3,mesrop_mashtoc_1,Straight,100,118,28,26
sayat_nova_6,baghramyan_1,Straight,97,100,76,74
sayat_nova_6,mesrop_mashtoc_4,Left,86,94,82,85
sayat_nova_6,mesrop_mashtoc_3-,Right,104,114,96,95
moskovyan_2,moskovyan_3,Straight,62,61,50,49
moskovyan_2,teryan_4,Right,81,86,61,61
moskovyan_2,teryan_3-,Left,58,71,70,70
teryan_4,teryan_5,Straight,92,95,80,90
teryan_4,sayat_nova_6,Right,115,116,85,85
sayat_nova_6-,sayat_nova_5-,Straight,101,103,98,99
sayat_nova_6-,teryan_5,Right,101,103,83,82
sayat_nova_6-,teryan_4-,Left,106,122,91,90
teryan_5-,teryan_4-,Straight,85,96,70,79
teryan_5-,sayat_nova_5-,Right,75,85,80,89
sayat_nova_5,teryan_4-,Right,90,96,72,74
sayat_nova_5,sayat_nova_6,Straight,86,72,53,54
sayat_nova_5,teryan_5,Left,78,67,51,52
sayat_nova_5-,abovyan_5,Right,96,73,72,68
sayat_nova_5-,sayat_nova_4-,Straight,61,63,60,59
teryan_4-,moskovyan_3,Right,75,91,57,56
teryan_4-,teryan_3-,Straight,57,86,61,69
sayat_nova_4,sayat_nova_5-,Straight,105,93,67,73
sayat_nova_4,abovyan_5,Left,90,97,83,77
abovyan_4,abovyan_5,Straight,111,138,101,90
abovyan_4,sayat_nova_5,Right,113,142,96,94
abovyan_4,sayat_nova_4-,Left,112,139,99,92
isahakyan_3,mesrop_mashtoc_2,Left,117,60,63,60
isahakyan_3,isahakyan_4,Straight,158,259,77,82
isahakyan_3,mesrop_mashtoc_1-,Right,64,75,58,58
teryan_3,teryan_4,Straight,47,47,38,36
teryan_3,moskovyan_3,Left,40,46,35,35
teryan_3-,isahakyan_3,Left,61,59,43,49
teryan_3-,teryan_2-,Straight,102,117,32,32
moskovyan_3,moskovyan_4,Straight,52,47,43,42
moskovyan_3,abovyan_4,Right,57,58,51,49
moskovyan_3,abovyan_3-,Left,40,46,40,40
isahakyan_2,isahakyan_3,Straight,70,74,48,61
isahakyan_2,teryan_3,Left,48,52,37,43
isahakyan_2,teryan_2-,Right,116,135,50,57
abovyan_3,abovyan_4,Straight,54,48,52,49
abovyan_3,moskovyan_4,Left,52,42,43,43
abovyan_3-,abovyan_2-,Straight,50,46,37,37
koryun_3-,koryun_2-,Straight,81,92,52,54
koryun_3-,teryan_2,Right,110,123,69,73
koryun_3-,teryan_1-,Left,118,127,67,64
teryan_2,teryan_3,Straight,54,55,44,42
teryan_2,isahakyan_3,Right,82,73,57,62
teryan_1,teryan_2,Straight,91,113,68,72
teryan_1,koryun_3,Right,68,74,54,54
teryan_1,koryun_2-,Left,96,104,68,65
teryan_2-,teryan_1-,Straight,99,118,64,65
teryan_2-,koryun_2-,Right,86,81,55,56
koryun_2,koryun_3,Straight,81,90,51,51
koryun_2,teryan_1-,Right,105,110,69,68
koryun_2,teryan_2,Left,92,94,51,56
koryun_2-,koryun_1-,Straight,64,56,47,46
koryun_2-,abovyan_2,Right,84,64,50,49
koryun_2-,abovyan_1-,Left,103,109,64,62
abovyan_1,abovyan_2,Straight,88,80,52,50
abovyan_1,koryun_2,Right,89,89,48,47
abovyan_1,koryun_1-,Left,113,101,70,69
abovyan_2,abovyan_3,Straight,45,46,36,36
abovyan_2,isahakyan_2,Right,73,64,39,40
abovyan_2-,abovyan_1-,Straight,100,96,58,55
abovyan_2-,koryun_1-,Right,61,46,37,37
isahakyan_1,isahakyan_2,Straight,75,87,46,47
isahakyan_1,abovyan_2-,Right,79,84,51,51
isahakyan_1,abovyan_3,Left,206,226,158,162
koryun_1,koryun_2,Straight,116,112,55,54
koryun_1,abovyan_1-,Right,95,103,53,50
koryun_1-,charents_2-,Straight,137,111,85,85
koryun_1-,nalbandyan_1,Right,100,150,60,60
koryun_1-,heratsi_2,Left,317,322,125,132
moskovyan_4,khanjyan_1-,Straight,55,56,41,41
moskovyan_4,nalbandyan_3,Right,81,103,56,54
moskovyan_4,nalbandyan_2-,Left,53,98,39,39
sayat_nova_4-,nalbandyan_4,Right,89,74,69,68
sayat_nova_4-,sayat_nova_3-,Straight,62,66,55,57
sayat_nova_4-,nalbandyan_3-,Left,74,82,55,55
nalbandyan_1,nalbandyan_2-,Straight,46,73,28,29
nalbandyan_1,isahakyan_1,Right,89,103,46,47
nalbandyan_1-,heratsi_2,Straight,279,295,86,98
nalbandyan_1-,charents_2-,Right,86,92,54,54
nalbandyan_2,nalbandyan_3,Straight,52,78,32,32
nalbandyan_2,khanjyan_1-,Left,37,48,30,30
nalbandyan_2-,isahakyan_1,Left,78,72,38,40
nalbandyan_2-,nalbandyan_1-,Straight,34,52,22,22
nalbandyan_3,nalbandyan_4,Straight,119,110,85,87
nalbandyan_3,sayat_nova_4,Right,148,117,92,95
nalbandyan_3,sayat_nova_3-,Left,107,107,86,90
nalbandyan_3-,nalbandyan_2-,Straight,59,54,34,34
nalbandyan_3-,khanjyan_1-,Right,58,51,39,40
nalbandyan_4-,nalbandyan_3-,Straight,68,70,53,57
nalbandyan_4-,sayat_nova_3-,Right,76,72,68,68
nalbandyan_4-,sayat_nova_4,Left,94,85,62,64
sayat_nova_3-,sayat_nova_2-,Straight,87,86,45,49
sayat_nova_3-,khanjyan_2-,Right,140,134,79,78
sayat_nova_3,sayat_nova_4,Straight,127,77,78,77
sayat_nova_3,nalbandyan_3-,Right,108,77,74,72
khanjyan_1-,khanjyan_2-,Straight,158,134,92,94
khanjyan_1-,sayat_nova_3,Right,129,98,83,86
khanjyan_1-,sayat_nova_2-,Left,103,93,80,78
khanjyan_1,nalbandyan_2-,Right,58,61,39,35
khanjyan_1,nalbandyan_3,Left,78,105,55,47
heratsi_1,heratsi_2,Straight,266,202,59,63
heratsi_1-,khanjyan_2-,Straight,86,48,41,40
heratsi_1-,khanjyan_1,Right,29,28,20,18
heratsi_2-,koryun_1,Right,95,64,42,39
heratsi_2-,charents_2-,Left,158,118,85,83
heratsi_2-,heratsi_1-,Straight,68,65,55,56
sayat_nova_2,sayat_nova_3,Straight,73,66,54,55
sayat_nova_2,khanjyan_1,Right,107,95,70,68
sayat_nova_2,khanjyan_2-,Left,129,94,67,67
sayat_nova_2-,sayat_nova_1-,Straight,37,37,34,32
sayat_nova_2-,alek_manukyan_1-,Right,83,116,65,65
sayat_nova_2-,alek_manukyan_2,Left,87,80,59,58
sayat_nova_1,sayat_nova_2,Straight,71,54,45,45
sayat_nova_1,alek_manukyan_2,Right,97,91,74,74
sayat_nova_1,alek_manukyan_1-,Left,147,162,83,86
sayat_nova_1-,charents_1-,Right,114,180,78,89
sayat_nova_1-,charents_2-,Left,218,203,154,155
charents_1,charents_2,Straight,170,199,111,111
charents_1,sayat_nova_1,Left,167,198,95,95
charents_2,koryun_1,Straight,145,132,81,82
charents_2,heratsi_2,Right,160,159,70,68
charents_2-,charents_1-,Straight,176,211,110,119
charents_2-,sayat_nova_1,Right,130,126,73,73
alek_manukyan_2,heratsi_2,Left,229,239,89,92
alek_manukyan_2,isahakyan_1,Straight,161,146,90,92
alek_manukyan_2,charents_2-,Right,116,116,84,90
alek_manukyan_1,alek_manukyan_2,Straight,177,150,90,91
alek_manukyan_1,sayat_nova_2,Left,157,113,73,71
alek_manukyan_1,sayat_nova_1-,Right,159,109,69,71
